#auto generated file!
9355;857;0;0;0;1;0;4543;37;2;180.18011083446723;180.19589085080264;1
9356;617;0;0;0;1;2;2149;310;445;180.19485953663352;180.21063955296893;1
9363;651;0;0;0;1;0;76;1643;5;180.25259171701822;180.26643059768296;1
9366;79;0;0;0;1;2;2205;605;291;180.2910914834223;180.3068714997577;1
9379;181;0;0;0;1;0;439;2854;2;180.4645918743895;180.47966704215145;1
9383;578;0;0;0;1;0;1204;1885;72;180.5325866658921;180.54805036337706;1
9385;226;0;0;0;1;0;3570;1895;50;180.61241668352386;180.6274918512858;1
9388;120;0;0;0;1;0;370;627;64;180.6585668518022;180.67364201956414;1
9402;36;0;0;0;1;0;1261;1554;1;180.89084640314806;180.90631010063302;1
9439;292;0;0;0;1;0;1;1564;1;181.67048028738174;181.6859439848667;1
9443;808;0;0;0;1;0;1166;568;13;181.81041838332325;181.8258820808082;1
9455;233;0;0;0;1;2;1720;3474;169;181.95746574145724;181.97119903687948;1
9456;141;0;0;0;1;0;788;184;51;181.9823422847505;181.99618116541524;1
9460;830;0;0;0;1;0;1813;626;10;182.01856430776306;182.03420718803943;1
9468;170;0;0;0;1;0;1322;763;41;182.21140218565697;182.22643538526964;1
9502;449;0;0;0;1;0;3232;723;30;182.8304697761385;182.84629604038287;1
9504;946;0;0;0;1;0;16;402;24;182.9010026333997;182.9161624443816;1
9505;505;0;0;0;1;0;2529;14;5;182.90802872402142;182.9231885350033;1
9511;785;0;0;0;1;0;225;1822;3;183.13805421287992;183.1532140238618;1
9512;938;0;0;0;1;0;2166;1359;28;183.1672400426108;183.1823998535927;1
9518;538;0;0;0;1;0;2937;6;16;183.2957409771721;183.31156724141647;1
9535;322;0;0;0;1;0;2603;529;5;183.4826706366166;183.49849690086097;1
9536;88;0;0;0;1;0;708;434;37;183.54490874384206;183.56073500808643;1
9557;932;0;0;0;1;0;5044;3161;18;183.9380123734198;183.95383863766418;1
9571;938;0;0;0;1;0;1753;643;75;184.10121206636197;184.11641455639483;1
9576;626;0;0;0;1;0;34;952;1;184.1345015336496;184.15032779789396;1
9583;984;0;0;0;1;0;3212;2268;50;184.23698517113763;184.2525379439462;1
9595;938;0;0;0;1;0;1498;1032;3;184.55031717822447;184.56547698920636;1
9601;808;0;0;0;1;0;348;827;10;184.6992135221629;184.71476629497147;1
9608;85;0;0;0;1;0;696;5452;15;184.88434410624387;184.89989687905245;1
9618;48;0;0;0;1;0;2884;1070;2;185.10712149027074;185.12290150660615;1
9634;865;0;0;0;1;0;485;2202;1;185.2382819795308;185.25344179051268;1
9646;430;0;0;0;1;0;1713;3453;13;185.42975927471167;185.44491908569356;1
