#auto generated file!
12.0;41;47;52;39;49;42;47;62;57;48;61;52;50;53
18.0;43;47;57;38;49;45;45;60;57;46;63;51;48;51
24.0;44;47;59;38;51;45;45;59;57;46;62;50;47;50
30.0;48;48;62;41;49;45;43;57;54;47;61;49;49;47
36.0;51;49;65;40;49;46;42;55;54;46;58;46;50;49
42.0;50;50;67;43;51;48;43;49;57;46;52;45;45;54
48.0;49;53;68;44;51;48;44;47;55;50;50;46;46;49
54.0;53;54;69;45;51;50;43;45;54;49;55;44;42;46
60.0;54;57;71;43;52;51;42;47;53;47;52;44;41;46
66.0;54;58;70;44;53;53;44;46;53;45;48;44;43;45
72.0;54;62;70;45;57;53;45;50;53;41;44;42;40;44
78.0;55;65;73;45;56;53;45;47;47;42;44;43;40;45
84.0;57;65;71;48;59;52;43;47;48;44;40;42;37;47
90.0;55;67;71;49;57;55;43;47;48;44;40;41;38;45
96.0;56;68;72;51;55;57;41;45;45;45;40;40;37;48
102.0;56;70;71;49;57;60;41;42;42;47;41;42;34;48
108.0;57;71;70;51;57;61;41;44;44;46;39;42;32;45
114.0;58;71;69;49;58;62;42;44;42;48;38;42;31;46
120.0;58;71;67;50;57;64;41;44;44;50;37;40;31;46
126.0;58;73;66;49;61;63;40;42;42;50;36;44;30;46
132.0;60;71;64;52;60;66;40;41;42;48;36;46;29;45
138.0;58;72;63;52;59;66;45;40;43;49;37;45;27;44
144.0;59;72;63;54;57;67;46;39;44;49;34;45;26;45
150.0;61;73;62;55;54;67;48;38;44;46;35;47;28;42
156.0;62;74;60;53;57;66;47;36;45;46;33;47;30;44
162.0;64;74;60;52;57;64;48;34;43;47;34;50;30;43
168.0;63;76;60;48;58;64;47;34;44;45;33;50;32;46
174.0;64;78;61;47;57;65;48;37;45;44;31;48;30;45
180.0;63;79;61;47;60;63;46;34;44;47;31;48;30;47
186.0;62;77;62;47;62;65;42;32;46;46;36;47;28;48
192.0;62;77;61;48;63;66;43;32;46;46;37;44;29;46
198.0;63;76;63;48;61;64;42;37;45;46;39;42;28;46
204.0;65;80;62;50;61;63;43;38;43;47;36;40;29;43
210.0;66;84;61;48;63;62;43;37;43;46;37;40;28;42
216.0;67;84;61;49;66;63;45;40;43;43;33;39;30;37
222.0;67;84;61;52;68;62;46;39;43;42;32;37;30;37
228.0;68;84;60;53;67;61;44;40;43;40;32;38;31;39
234.0;66;84;62;52;66;64;43;39;43;37;33;39;34;38
240.0;69;84;64;55;67;62;40;39;38;38;33;39;36;36
246.0;69;85;64;53;68;61;40;37;39;39;34;41;34;36
252.0;73;84;67;51;69;60;39;40;41;36;38;40;30;32
258.0;72;87;69;52;69;61;41;38;39;37;37;37;29;32
264.0;73;87;68;51;67;62;41;42;37;36;38;37;28;33
270.0;73;89;68;55;67;62;41;41;35;35;37;38;27;32
276.0;75;91;68;55;66;63;39;38;34;36;37;38;27;33
282.0;77;91;70;55;65;62;41;37;35;37;34;35;28;33
288.0;78;93;71;55;64;65;38;38;34;36;31;34;29;34
294.0;80;90;73;55;63;66;39;37;32;37;29;33;32;34
300.0;81;93;75;55;61;68;41;38;31;35;31;31;28;32
306.0;82;94;77;57;62;69;42;35;33;31;31;30;27;30
312.0;82;97;77;58;61;68;40;34;32;32;32;30;28;29
318.0;78;98;75;56;62;68;42;36;32;35;32;29;29;28
324.0;79;98;73;56;63;67;41;35;34;35;33;30;28;28
330.0;80;96;75;54;63;66;39;34;32;35;35;32;29;30
336.0;80;98;75;56;60;66;38;33;33;37;35;30;29;30
342.0;81;101;77;57;59;67;38;31;34;37;34;26;29;29
348.0;85;100;77;58;58;70;38;28;34;36;33;27;26;30
354.0;86;96;75;59;60;71;39;31;34;36;32;28;25;28
360.0;89;97;74;59;60;70;40;31;35;37;32;28;21;27
366.0;91;99;72;60;60;71;39;28;35;35;34;30;20;26
372.0;91;97;74;61;59;71;38;28;33;35;38;31;19;25
378.0;90;98;70;60;60;72;38;27;33;38;37;33;20;24
384.0;88;97;71;60;59;75;36;30;31;37;38;32;21;25
390.0;87;97;70;60;59;75;38;31;27;37;40;33;22;24
396.0;88;97;70;61;62;74;37;30;28;37;41;30;23;22
402.0;88;99;72;60;62;74;38;29;28;37;40;30;21;22
408.0;87;100;74;60;61;76;39;30;29;32;41;32;21;18
414.0;86;101;76;62;62;75;35;28;30;31;41;31;24;18
420.0;87;100;78;62;62;76;38;27;28;31;36;33;25;17
426.0;89;100;76;61;63;78;37;29;29;28;34;32;26;18
432.0;89;99;75;63;59;78;36;29;28;32;36;34;23;19
438.0;88;97;76;65;59;76;34;31;28;35;35;32;23;21
444.0;88;98;75;64;61;74;35;30;32;37;34;27;23;22
450.0;89;101;73;65;64;73;33;32;33;36;35;25;23;18
456.0;89;103;73;65;65;74;31;31;31;35;36;25;24;18
462.0;89;103;72;66;63;75;30;30;32;34;36;26;26;18
468.0;91;104;72;66;60;75;28;30;32;35;34;26;27;20
474.0;91;105;71;67;60;71;27;30;31;36;37;27;26;21
480.0;91;104;73;68;59;69;25;29;31;36;40;27;26;22
486.0;90;106;72;69;60;69;25;25;31;37;39;26;28;23
492.0;88;104;71;71;64;67;25;24;32;36;37;23;30;28
498.0;89;104;74;71;63;67;28;24;29;37;36;20;30;28
504.0;89;107;74;71;63;66;27;26;28;38;36;18;30;27
510.0;92;108;70;71;66;65;28;28;27;36;36;18;27;28
516.0;95;108;73;72;66;64;27;29;26;33;36;18;26;27
522.0;95;107;73;73;64;64;31;29;29;34;33;18;25;25
528.0;94;108;70;71;63;66;33;27;30;29;33;20;27;29
534.0;94;106;71;73;63;66;34;28;30;29;34;18;26;28
540.0;94;107;71;72;63;65;29;29;30;32;35;21;24;28
546.0;94;108;68;69;63;67;31;29;31;32;35;20;25;28
552.0;96;107;68;68;63;67;31;29;30;30;38;20;27;26
558.0;97;106;70;67;63;67;31;28;30;30;37;20;28;26
564.0;95;106;71;67;63;67;31;27;33;30;36;19;28;27
570.0;95;105;71;65;65;67;29;28;32;30;36;21;29;27
576.0;97;107;72;64;66;65;28;28;31;29;36;21;27;29
582.0;96;107;71;65;66;66;28;27;29;31;38;22;27;27
588.0;97;108;71;68;64;64;29;28;31;28;35;20;25;32
594.0;99;105;73;65;66;66;30;29;32;27;34;19;24;31
